enes_id,enes_dat_cria,enes_dat_atua,user_id,loes_id,sles_id,coes_id,pres_id,poes_id
1,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,1
2,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,10
3,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,2
4,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,3
5,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,4
6,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,5
7,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,6
8,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,7
9,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,8
10,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,1,9
11,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,1
12,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,10
13,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,2
14,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,3
15,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,4
16,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,5
17,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,6
18,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,7
19,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,8
20,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,10,9
21,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,1
22,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,10
23,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,2
24,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,3
25,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,4
26,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,5
27,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,6
28,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,7
29,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,8
30,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,2,9
31,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,1
32,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,10
33,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,2
34,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,3
35,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,4
36,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,5
37,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,6
38,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,7
39,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,8
40,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,3,9
41,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,1
42,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,10
43,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,2
44,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,3
45,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,4
46,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,5
47,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,6
48,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,7
49,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,8
50,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,4,9
51,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,1
52,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,10
53,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,2
54,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,3
55,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,4
56,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,5
57,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,6
58,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,7
59,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,8
60,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,5,9
61,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,1
62,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,10
63,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,2
64,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,3
65,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,4
66,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,5
67,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,6
68,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,7
69,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,8
70,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,6,9
71,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,1
72,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,10
73,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,2
74,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,3
75,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,4
76,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,5
77,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,6
78,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,7
79,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,8
80,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,7,9
81,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,1
82,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,10
83,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,2
84,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,3
85,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,4
86,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,5
87,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,6
88,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,7
89,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,8
90,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,8,9
91,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,1
92,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,10
93,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,2
94,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,3
95,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,4
96,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,5
97,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,6
98,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,7
99,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,8
100,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,1,9,9
101,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,1
102,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,10
103,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,2
104,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,3
105,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,4
106,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,5
107,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,6
108,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,7
109,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,8
110,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,1,9
111,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,1
112,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,10
113,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,2
114,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,3
115,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,4
116,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,5
117,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,6
118,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,7
119,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,8
120,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,10,9
121,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,2,1
122,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,2,10
123,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,2,2
124,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,2,3
125,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,2,4
126,"2024-04-07 14:32:49.822 +00:00","2024-04-07 14:32:49.822 +00:00",10,5,1,2,2,5
